225,9.498,1390920296,user_group-2,3.696931,,{'post_tweet': 2.1228439807891846, 'get_tweets': 1.5734128952026367}
226,9.586,1390920297,user_group-1,2.001147,,{'get_tweets': 2.0008938312530518}
227,9.623,1390920297,user_group-1,2.040115,,{'get_tweets': 2.0398759841918945}
228,9.632,1390920297,user_group-2,3.532271,,{'post_tweet': 1.9981911182403564, 'get_tweets': 1.533499002456665}
229,9.659,1390920297,user_group-2,3.446476,,{'post_tweet': 1.9889068603515625, 'get_tweets': 1.456968069076538}
230,9.741,1390920297,user_group-1,2.080242,,{'get_tweets': 2.079986095428467}
231,9.802,1390920297,user_group-2,3.792357,,{'post_tweet': 2.2375988960266113, 'get_tweets': 1.554171085357666}
232,9.813,1390920297,user_group-2,3.487910,,{'post_tweet': 2.0664279460906982, 'get_tweets': 1.4193079471588135}
233,9.874,1390920297,user_group-1,2.116257,,{'get_tweets': 2.116002082824707}
234,9.960,1390920297,user_group-2,3.684428,,{'post_tweet': 2.169558048248291, 'get_tweets': 1.5142560005187988}
235,10.029,1390920297,user_group-1,1.991902,,{'get_tweets': 1.9916658401489258}
236,10.290,1390920297,user_group-2,3.821974,,{'post_tweet': 2.161879062652588, 'get_tweets': 1.6595089435577393}
237,10.297,1390920297,user_group-2,3.859008,,{'post_tweet': 2.205109119415283, 'get_tweets': 1.6531589031219482}
238,10.304,1390920297,user_group-2,3.862427,,{'post_tweet': 2.187263011932373, 'get_tweets': 1.6745781898498535}
239,10.357,1390920297,user_group-2,3.807960,,{'post_tweet': 2.048546075820923, 'get_tweets': 1.758756160736084}
240,10.416,1390920297,user_group-2,3.860465,,{'post_tweet': 2.0928640365600586, 'get_tweets': 1.767073154449463}
241,10.440,1390920297,user_group-2,3.882960,,{'post_tweet': 2.1246891021728516, 'get_tweets': 1.7576570510864258}
242,10.449,1390920297,user_group-2,3.916919,,{'post_tweet': 2.101628065109253, 'get_tweets': 1.8147008419036865}
243,10.468,1390920297,user_group-2,3.806944,,{'post_tweet': 2.0365099906921387, 'get_tweets': 1.7698369026184082}
244,10.489,1390920297,user_group-2,3.783757,,{'post_tweet': 2.0372328758239746, 'get_tweets': 1.7458999156951904}
245,10.500,1390920297,user_group-2,3.834667,,{'post_tweet': 2.1094651222229004, 'get_tweets': 1.7245240211486816}
246,10.549,1390920298,user_group-2,3.775058,,{'post_tweet': 2.0907459259033203, 'get_tweets': 1.6837348937988281}
247,10.587,1390920298,user_group-1,2.093725,,{'get_tweets': 2.093467950820923}
248,10.638,1390920298,user_group-2,3.825764,,{'post_tweet': 2.080203056335449, 'get_tweets': 1.7449710369110107}
249,10.701,1390920298,user_group-2,3.902129,,{'post_tweet': 2.108124017715454, 'get_tweets': 1.7934348583221436}
250,10.763,1390920298,user_group-2,3.876984,,{'post_tweet': 2.0438930988311768, 'get_tweets': 1.8324401378631592}
251,10.796,1390920298,user_group-2,3.797655,,{'post_tweet': 2.034318208694458, 'get_tweets': 1.7627370357513428}
252,10.824,1390920298,user_group-1,2.022791,,{'get_tweets': 2.022547960281372}
253,10.971,1390920298,user_group-1,1.932213,,{'get_tweets': 1.9319469928741455}
254,10.972,1390920298,user_group-2,3.871900,,{'post_tweet': 1.9512901306152344, 'get_tweets': 1.9200689792633057}
