176,3.337,1389793807,user_group-2,0.615193,Bad Response: HTTP 201,{'post_tweet': 0.31971001625061035, 'get_tweets': 0.2948739528656006}
177,3.343,1389793807,user_group-1,0.318290,,{'get_tweets': 0.3180580139160156}
178,3.357,1389793807,user_group-1,0.318078,,{'get_tweets': 0.31785082817077637}
179,3.391,1389793807,user_group-2,0.623346,Bad Response: HTTP 201,{'post_tweet': 0.33122897148132324, 'get_tweets': 0.29150915145874023}
180,3.413,1389793807,user_group-2,0.624474,Bad Response: HTTP 201,{'post_tweet': 0.3324720859527588, 'get_tweets': 0.2909409999847412}
181,3.433,1389793807,user_group-2,0.624814,Bad Response: HTTP 201,{'post_tweet': 0.3323671817779541, 'get_tweets': 0.29180216789245605}
182,3.439,1389793807,user_group-1,0.332726,,{'get_tweets': 0.3325002193450928}
183,3.453,1389793807,user_group-2,0.632398,Bad Response: HTTP 201,{'post_tweet': 0.33690810203552246, 'get_tweets': 0.2949490547180176}
184,3.467,1389793807,user_group-2,0.637153,Bad Response: HTTP 201,{'post_tweet': 0.34405994415283203, 'get_tweets': 0.2924940586090088}
185,3.527,1389793807,user_group-1,0.312533,,{'get_tweets': 0.3123128414154053}
186,3.541,1389793807,user_group-2,0.642503,Bad Response: HTTP 201,{'post_tweet': 0.3205561637878418, 'get_tweets': 0.32131409645080566}
187,3.555,1389793807,user_group-2,0.642020,Bad Response: HTTP 201,{'post_tweet': 0.3282430171966553, 'get_tweets': 0.31317806243896484}
188,3.569,1389793807,user_group-2,0.641496,Bad Response: HTTP 201,{'post_tweet': 0.33507680892944336, 'get_tweets': 0.3058309555053711}
189,3.583,1389793807,user_group-2,0.649276,Bad Response: HTTP 201,{'post_tweet': 0.3405759334564209, 'get_tweets': 0.30812907218933105}
190,3.620,1389793807,user_group-2,0.664103,Bad Response: HTTP 201,{'post_tweet': 0.33777689933776855, 'get_tweets': 0.3257451057434082}
191,3.634,1389793807,user_group-2,0.663774,Bad Response: HTTP 201,{'post_tweet': 0.34544801712036133, 'get_tweets': 0.31772613525390625}
192,3.650,1389793807,user_group-2,0.664674,Bad Response: HTTP 201,{'post_tweet': 0.35547804832458496, 'get_tweets': 0.3086259365081787}
193,3.675,1389793807,user_group-1,0.332485,,{'get_tweets': 0.3322570323944092}
194,3.689,1389793807,user_group-2,0.656991,Bad Response: HTTP 201,{'post_tweet': 0.3391599655151367, 'get_tweets': 0.3171379566192627}
195,3.695,1389793807,user_group-1,0.338444,,{'get_tweets': 0.33821582794189453}
196,3.709,1389793807,user_group-2,0.661954,Bad Response: HTTP 201,{'post_tweet': 0.3435959815979004, 'get_tweets': 0.31780505180358887}
197,3.725,1389793807,user_group-2,0.671998,Bad Response: HTTP 201,{'post_tweet': 0.35059499740600586, 'get_tweets': 0.32074499130249023}
198,3.763,1389793807,user_group-2,0.689180,Bad Response: HTTP 201,{'post_tweet': 0.36469483375549316, 'get_tweets': 0.3238987922668457}
199,3.783,1389793807,user_group-2,0.688861,Bad Response: HTTP 201,{'post_tweet': 0.3635079860687256, 'get_tweets': 0.3246309757232666}
200,3.796,1389793807,user_group-1,0.356274,,{'get_tweets': 0.35604214668273926}
201,3.824,1389793807,user_group-2,0.686313,Bad Response: HTTP 201,{'post_tweet': 0.3497781753540039, 'get_tweets': 0.3359060287475586}
202,3.839,1389793807,user_group-2,0.687249,Bad Response: HTTP 201,{'post_tweet': 0.3573179244995117, 'get_tweets': 0.3293609619140625}
203,3.860,1389793807,user_group-2,0.700788,Bad Response: HTTP 201,{'post_tweet': 0.3705010414123535, 'get_tweets': 0.3296849727630615}
204,3.883,1389793807,user_group-2,0.716438,Bad Response: HTTP 201,{'post_tweet': 0.38268089294433594, 'get_tweets': 0.3331310749053955}
205,3.897,1389793807,user_group-2,0.717070,Bad Response: HTTP 201,{'post_tweet': 0.38919901847839355, 'get_tweets': 0.32726383209228516}
206,3.911,1389793807,user_group-2,0.716169,Bad Response: HTTP 201,{'post_tweet': 0.3966069221496582, 'get_tweets': 0.3189680576324463}
207,3.925,1389793807,user_group-2,0.716560,Bad Response: HTTP 201,{'post_tweet': 0.40405797958374023, 'get_tweets': 0.31191301345825195}
208,3.931,1389793807,user_group-1,0.403863,,{'get_tweets': 0.40363097190856934}
209,3.970,1389793808,user_group-2,0.709486,Bad Response: HTTP 201,{'post_tweet': 0.3804287910461426, 'get_tweets': 0.3284780979156494}
210,3.984,1389793808,user_group-2,0.712032,Bad Response: HTTP 201,{'post_tweet': 0.3883490562438965, 'get_tweets': 0.32311105728149414}
211,4.000,1389793808,user_group-2,0.724711,Bad Response: HTTP 201,{'post_tweet': 0.3980379104614258, 'get_tweets': 0.3260641098022461}
212,4.042,1389793808,user_group-2,0.732963,Bad Response: HTTP 201,{'post_tweet': 0.3859539031982422, 'get_tweets': 0.3464210033416748}
213,4.056,1389793808,user_group-2,0.733028,Bad Response: HTTP 201,{'post_tweet': 0.39333200454711914, 'get_tweets': 0.33910417556762695}
214,4.070,1389793808,user_group-2,0.733370,Bad Response: HTTP 201,{'post_tweet': 0.40160298347473145, 'get_tweets': 0.33115696907043457}
215,4.077,1389793808,user_group-1,0.401564,,{'get_tweets': 0.4013099670410156}
216,4.090,1389793808,user_group-1,0.394432,,{'get_tweets': 0.3942070007324219}
217,4.128,1389793808,user_group-2,0.743953,Bad Response: HTTP 201,{'post_tweet': 0.39492082595825195, 'get_tweets': 0.34847021102905273}
218,4.141,1389793808,user_group-2,0.750078,Bad Response: HTTP 201,{'post_tweet': 0.4000990390777588, 'get_tweets': 0.3493180274963379}
